,Country,Blame Based,Fault Comment,Irreconcilable Differences,No Fault Comment,country,Legality,Fault Based,Mutual No Fault,Unilateral No Fault
0,Afghanistan,1977.0,Fault required,,,,,,,
1,Albania,2003.0,Fault required,2013.0,Favors men,,,,,
2,Algeria,1984.0,Fault required,2005.0,Favors men,,,,,
3,Angola,,,1975.0,No fault,Angola,Legal,Yes,Yes,One year separation
4,Argentina,1987.0,Fault required,2015.0,No fault,Argentina,Legal,No,Yes,Yes
5,Armenia,2004.0,Fault required,,,,,,,
6,Australia,,,1975.0,No fault,Australia,Legal,No,One year separation,One year separation
7,Austria,,,1978.0,No fault,Austria,Legal,Yes,Six month separation,Three year separation
8,Azerbaijan,1999.0,Fault required,,,Azerbaijan,Legal,No,One month waiting time,Up to three months cool-down period
9,Bangladesh,1869.0,Fault required,,,,,,,
10,Belarus,1990.0,Fault required,,,,,,,
11,Belgium,1970.0,Fault required,2007.0,No fault,Belgium,Legal,No,Six month separation,One year separation
12,Belize,2018.0,Fault required,,,,,,,
13,Benin,2002.0,Fault required,,,,,,,
14,Bhutan,1980.0,Fault required,,,,,,,
15,Bolivia,1988.0,Fault required,2005.0,No fault,Bolivia,Legal,Yes,Two year separation,Two year separation
16,Bosnia and Herzegovina,,,1980.0,No fault,,,,,
17,Botswana,,,1973.0,No fault,Botswana,Legal,No,Two year separation,Two year separation
18,Brazil,1977.0,Fault required,2010.0,No fault,Brazil,Legal,Yes,Yes,Yes
19,Bulgaria,1952.0,Fault required,2009.0,No fault,Bulgaria,Legal,Yes,Yes,Determined by court
20,Burkina Faso,1989.0,Fault required,,,Burkina Faso,Legal,Yes,Yes,Three year separation
21,Burundi,1993.0,Fault required,,,Burundi,Legal,Yes,No,No
22,Cambodia,1989.0,Fault required,,,Cambodia,Legal,Yes,Yes,One year separation
23,Cameroon,1973.0,Fault required,,,Cameroon,Legal,Yes,Two year separation,Five year separation
24,Canada,,,1968.0,No fault,Canada,Legal,Yes,One year separation,One year separation
25,Central African Republic,1991.0,Fault required,,,,,,,
26,Chad,1996.0,Favors men,,,,,,,
27,Chile,,,2004.0,No fault,Chile,Legal,,One year separation,Three year separation
28,China,2020.0,Fault required,,,China,Legal,Yes,One month waiting time,Two year separation
29,Colombia,1991.0,Fault required,2025.0,No fault,Colombia,Legal,Yes,Yes,Two year separation
30,Comoros,1991.0,Fault required,,,,,,,
31,Congo,1987.0,Fault required,,,,,,,
32,Congo Democratic Republic,,,,,,,,,
33,Costa Rica,1974.0,Fault required,,,,,,,
34,Cote d'Ivoire,1964.0,Fault required,,,,,,,
35,Croatia,2015.0,Fault required,,,Croatia,Legal,Yes,Yes,One year separation
36,Cuba,1975.0,Fault required,,,Cuba,Legal,No,Yes,Yes
37,Cyprus,2003.0,Fault required,,,,,,,
38,Czech Republic,2012.0,Fault required,,,Czech Republic,Legal,Yes,Six month separation,Determined by court
39,Denmark,,,1969.0,No fault,Denmark,Legal,Yes,Yes,Six month separation
40,Djibouti,2003.0,Fault required,,,,,,,
41,Dominican Republic,1954.0,Fault required,,,,,,,
42,Ecuador,,,1987.0,No fault,Ecuador,Legal,Yes,Yes,Determined by court
43,Egypt,2000.0,Fault required,,,,,,,
44,El Salvador,,,1981.0,No fault,,,,,
45,Estonia,2010.0,Fault required,,,Estonia,Legal,Yes,Yes,Two year separation
46,Eswatini,,,1979.0,No fault,Eswatini,Legal,Yes,No,No
